source	target	weight
15	U01	7.2
U01	14	7.6
15	1	8.8
16	17	6.8
16	1	11.8
17	22	6.7
17	K	9.8
22	K	10.1
22	23	10.0
K	18	9.2
K	21	4.1
18	1	8.2
18	J	8.2
J	19	8.1
1	U02	11.2
U02	J	4.6
U02	13	5.2
14	H	9.9
14	13	8.6
13	G	8.6
H	12	10.2
G	12	7.8
G	11	6.8
12	F	12.2
F	10	10.8
F	9	5.6
9	E	7.8
E	8	8.0
E	7	7.2
E	11	14.2
19	20	9.3
19	L	7.2
20	L	5.5
20	25	6.5
20	21	7.9
21	23	9.1
21	25	7.6
23	24	8.9
23	N	7.9
24	N	13.2
24	U03	9.2
U03	27	9.6
25	N	8.8
25	M	12.0
N	26	10.5
N	M	14.2
26	27	7.8
26	P	10.5
27	28	7.9
28	Q	8.3
28	P	12.1
P	O	10.1
M	O	19.8
M	6	9.5
M	5	11.4
L	6	11.8
L	7	14.5
6	7	7.3
6	5	9.7
5	D	11.3
5	2	8.3
D	7	15.1
D	3	8.2
D	4	12.7
8	4	12.3
2	3	4.8
2	O	9.2
3	C	7.9
O	C	11.5
O	I	6.0
I	U05	2.0
U05	C	11.2
I	B	3.9
B	C	11.0
A	B	17.6
A	C	8.3
A	R	8.8
A	33	7.4
A	34	11.5
R	P	12.9
R	29	7.9
R	31	9.2
Q	29	7.2
Q	30	7.7
30	32	10.3
32	U04	6.8
U04	35	8.1
31	32	8.1
31	33	7.3
32	33	12.2
35	34	8.2
